id,purchaseOrderNumber,companyId,userId,orderType,trackingNumber,dateReceived,shippedVia,comment,createdAt,updatedAt
376,EO-7951,1362,8,,,2020-05-21T10:44:08.903,,,2020-05-21T10:44:08.903,2020-05-21T10:44:08.903
377,RMA-13100,90,8,,,2020-05-21T15:05:13.449,,,2020-05-21T15:05:13.449,2020-05-21T15:05:13.449
378,RMA-11318,680,8,,,2020-05-21T15:05:48.655,,,2020-05-21T15:05:48.655,2020-05-21T15:05:48.655
379,EO-7904,1395,8,,,2020-05-22T09:42:50.652,,,2020-05-22T09:42:50.652,2020-05-22T09:42:50.652
380,Ebay 19003107,1456,8,,,2020-05-26T09:56:37.741,,,2020-05-26T09:56:37.741,2020-05-26T09:56:37.741
381,EO-7923,1457,10,,,2020-05-26T12:09:24.017,,,2020-05-26T12:09:24.017,2020-05-26T12:09:24.017
387,EO-7924,1457,10,,,2020-05-26T14:52:17.218,,,2020-05-26T14:52:17.218,2020-05-26T14:52:17.218
390,EO-7948,1451,10,,,2020-05-26T15:13:37.914,,,2020-05-26T15:13:37.914,2020-05-26T15:13:37.914
397,EO-7952,1362,10,,,2020-05-27T13:42:12.732,,,2020-05-27T13:42:12.732,2020-05-27T13:42:12.732
398,EO-7954,1368,10,,,2020-05-29T12:34:53.380,,,2020-05-29T12:34:53.380,2020-05-29T12:34:53.380
399,EO-7956,61,8,,,2020-05-29T13:39:00.824,,,2020-05-29T13:39:00.824,2020-05-29T13:39:00.824
401,EO-7945,1387,8,,,2020-05-29T14:50:14.013,,Incomplete ,2020-05-29T14:50:14.013,2020-05-29T14:50:14.013
402,EO-7960,724,8,,,2020-06-01T13:45:40.663,,,2020-06-01T13:45:40.663,2020-06-01T13:45:40.663
403,EO-7958,1458,8,,,2020-06-02T09:06:42.888,,,2020-06-02T09:06:42.888,2020-06-02T09:06:42.888
404,EO-7957,1459,8,,,2020-06-03T09:43:53.517,,,2020-06-03T09:43:53.517,2020-06-03T09:43:53.517
405,RMA-13174,153,8,,,2020-06-03T09:44:51.698,,Chips around pcb edeges,2020-06-03T09:44:51.698,2020-06-03T09:44:51.698
406,EO-7962,1450,8,,,2020-06-04T09:40:45.754,,,2020-06-04T09:40:45.754,2020-06-04T09:40:45.754
407,EO-7963,575,8,,,2020-06-04T09:41:20.119,,,2020-06-04T09:41:20.119,2020-06-04T09:41:20.119
408,EO-7965,452,8,,,2020-06-04T11:31:59.082,,,2020-06-04T11:31:59.082,2020-06-04T11:31:59.082
409,inap1468405174,1460,8,,,2020-06-04T14:51:46.775,,,2020-06-04T14:51:46.775,2020-06-04T14:51:46.775
427,INAp1468405174,1460,8,,,2020-06-04T15:21:05.724,,,2020-06-04T15:21:05.724,2020-06-04T15:21:05.724
439,6598413671,1461,8,,,2020-06-08T10:50:53.086,,,2020-06-08T10:50:53.086,2020-06-08T10:50:53.086
440,EO-7967,452,8,,,2020-06-08T13:43:02.187,,,2020-06-08T13:43:02.187,2020-06-08T13:43:02.187
441,Ebay - 6-4-2020,1355,8,,,2020-06-09T09:16:09.282,,,2020-06-09T09:16:09.282,2020-06-09T09:16:09.282
442,RMA13220,575,8,,,2020-06-09T09:49:02.692,,Returned by Atlantix,2020-06-09T09:49:02.692,2020-06-09T09:49:02.692
446,RMA-13220,1399,8,,,2020-06-09T09:51:35.887,,Returned by Atlantix,2020-06-09T09:51:35.887,2020-06-09T09:51:35.887
447,EO-7966,1362,8,,,2020-06-09T15:39:46.747,,,2020-06-09T15:39:46.747,2020-06-09T15:39:46.747
451,INAP 1468405179,1460,8,,,2020-06-10T14:29:31.847,,,2020-06-10T14:29:31.847,2020-06-10T14:29:31.847
456,INAP1468405174,1460,8,,,2020-06-10T14:34:44.714,,,2020-06-10T14:34:44.714,2020-06-10T14:34:44.714
463,EO-7971,1449,8,,,2020-06-12T13:34:53.125,,,2020-06-12T13:34:53.125,2020-06-12T13:34:53.125
465,KO-0259,1457,10,,,2020-06-15T12:03:15.533,,,2020-06-15T12:03:15.533,2020-06-15T12:03:15.533
478,EO-7968,1463,8,,,2020-06-16T13:58:28.398,,,2020-06-16T13:58:28.398,2020-06-16T13:58:28.398
479,EO-50270,544,8,,,2020-06-17T11:38:53.293,,,2020-06-17T11:38:53.293,2020-06-17T11:38:53.293
481,EP-50270,544,8,,,2020-06-17T11:44:44.742,,,2020-06-17T11:44:44.742,2020-06-17T11:44:44.742
483,WCB - 6-18-2020,1357,8,,,2020-06-19T12:17:49.405,,,2020-06-19T12:17:49.405,2020-06-19T12:17:49.405
484,EO-7970,1388,8,,,2020-06-19T12:18:22.748,,,2020-06-19T12:18:22.748,2020-06-19T12:18:22.748
